No.,Time,Source,Destination,Protocol,Length,Info,Info_clean
46,3.486046,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
177,11.472175,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 216","ZCL: Read Attributes,"
179,11.50384,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 217","ZCL: Read Attributes,"
181,11.527324,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 216","ZCL: Read Attributes Response,"
185,11.559638,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 217","ZCL: Read Attributes Response,"
243,17.728144,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
360,24.215512,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 239","ZCL: Read Attributes,"
362,24.243231,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 240","ZCL: Read Attributes,"
364,24.272475,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 239","ZCL: Read Attributes Response,"
368,24.298233,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 240","ZCL: Read Attributes Response,"
437,32.049318,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
505,36.996353,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 6","ZCL: Read Attributes,"
507,37.028006,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 7","ZCL: Read Attributes,"
509,37.054076,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 6","ZCL: Read Attributes Response,"
513,37.083931,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 7","ZCL: Read Attributes Response,"
664,47.416805,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
699,49.681257,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 30","ZCL: Read Attributes,"
701,49.710262,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 31","ZCL: Read Attributes,"
703,49.737007,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 30","ZCL: Read Attributes Response,"
708,49.764546,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 31","ZCL: Read Attributes Response,"
715,50.823628,0xd7a7,0x1de6,ZigBee HA,49,"ZCL Groups: Get Group Membership, Seq: 32","ZCL Groups: Get Group Membership,"
717,50.879641,0x1de6,0xd7a7,ZigBee HA,58,"ZCL Groups: Get Group Membership Response, Seq: 32","ZCL Groups: Get Group Membership Response,"
722,51.933201,0xd7a7,0x1de6,ZigBee HA,50,"ZCL Scenes: Get Scene Membership, Seq: 33","ZCL Scenes: Get Scene Membership,"
724,51.98919,0x1de6,0xd7a7,ZigBee HA,69,"ZCL Scenes: Get Scene Membership Response, Seq: 33","ZCL Scenes: Get Scene Membership Response,"
729,53.061753,0xd7a7,0x1de6,ZigBee HA,54,"ZCL: Read Attributes, Seq: 34","ZCL: Read Attributes,"
731,53.118497,0x1de6,0xd7a7,ZigBee HA,72,"ZCL: Read Attributes Response, Seq: 34","ZCL: Read Attributes Response,"
735,54.149396,0xd7a7,0x1de6,ZigBee HA,50,"ZCL: Read Attributes, Seq: 35","ZCL: Read Attributes,"
737,54.179877,0xd7a7,0x1de6,ZigBee HA,50,"ZCL: Read Attributes, Seq: 36","ZCL: Read Attributes,"
739,54.203991,0x1de6,0xd7a7,ZigBee HA,53,"ZCL: Read Attributes Response, Seq: 35","ZCL: Read Attributes Response,"
743,54.213492,0xd7a7,0x1de6,ZigBee HA,50,"ZCL: Read Attributes, Seq: 37","ZCL: Read Attributes,"
745,54.235113,0x1de6,0xd7a7,ZigBee HA,53,"ZCL: Read Attributes Response, Seq: 36","ZCL: Read Attributes Response,"
749,54.244614,0xd7a7,0x1de6,ZigBee HA,54,"ZCL: Read Attributes, Seq: 38","ZCL: Read Attributes,"
751,54.269987,0x1de6,0xd7a7,ZigBee HA,54,"ZCL: Read Attributes Response, Seq: 37","ZCL: Read Attributes Response,"
755,54.300875,0x1de6,0xd7a7,ZigBee HA,62,"ZCL: Read Attributes Response, Seq: 38","ZCL: Read Attributes Response,"
825,62.984573,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
998,77.396403,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
1115,92.960648,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
1311,109.210571,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
1461,120.36551,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 119","ZCL: Read Attributes,"
1463,120.395972,0xd7a7,0x1de6,ZigBee HA,52,"ZCL: Read Attributes, Seq: 120","ZCL: Read Attributes,"
1465,120.422849,0x1de6,0xd7a7,ZigBee HA,69,"ZCL: Read Attributes Response, Seq: 119","ZCL: Read Attributes Response,"
1469,120.450983,0x1de6,0xd7a7,ZigBee HA,61,"ZCL: Read Attributes Response, Seq: 120","ZCL: Read Attributes Response,"
1509,124.191212,0x1de6,Broadcast,ZigBee,80,Link Status,Link Status
1626,132.997367,0xd7a7,0x1de6,ZigBee HA,56,"ZCL: Read Attributes, Seq: 142","ZCL: Read Attributes,"
