
me": "61.99213", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, "length": "80", "info": "Link Status"}
{"time": "118.339168", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": ", "info": "ZCL: Read Attributes Response, Seq: 195"}
{"time": "377.998631", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attitibutes Response, Seq: 116"}
{"time": "213.068009", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "80", "info": "ZCL: Read Attributes, Seq: 47"}
{"time": "27.069877", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "inot": "ZCL: Read Attributes, Seq: 112"}
{"time": "500.445992", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "22", "info": "ZCL: Read Attributes, Seq: 207"}
{"time": "598.113541", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "66", "info": "ZCL: Read Attributes Response, Seq: 185"}
{"time": "42.980083", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "61", "info": "Link Status"}
{"time": "345.362787", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, Seq: 64"}
{"time": "557.114457", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, Seq: 252"}
{"time": "277.496882", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes, Seq: 20"}
{"time": "55.252432", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes Response, Seq: 289"}
{"time": "504.785747", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes, Seq: 33"}
{"time": "338.170617", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes, Seq: 168"}
{"time": "42.363858", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes, Seq: 189"}
{"time": "691.141553", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "61", "info": "Link Status"}
{"time": "59.612394", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes Response, Seq: 186"}
{"time": "465.255669", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes, Seq: 23"}
{"time": "56.106456", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "80", "info": "Link Set ", "length": "52", "info": "ZCL: Read Attributes Response, Seq: 158"}
{"time": "290.068163", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes, Seq: 228"}
{"time": "217.763944", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes Response, Seq: 254"}
{"time": "42.314582", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "56", "info": "ZCL: Read Attributes, Seq: 137"}
{"time": "276.300096", "src": "0xd7a7", "dst": "0x1de6", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes, Seq: 125"}
{"time": "25.100636", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes, Seq: 233"}
{"time": "355.703631", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes Response, Seq: 19"}
{"time": "335.23337", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "61", "info": "ZCL: Read Attributes, Seq: 84"}
{"time": "129.245123", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes Response, Seq: 184"}
{"time": "237.721533", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "10", "info": "ZCL: Read Attributes, Seq: 230"}
{"timme": "237.494693", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "50", "info": "Link Status"}
{"time": "22.745314", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "52", "info": "ZCL: Read Attributes Response, Seq: 128"}
{"time": "563.066298", "src": "0x1de6", "dst": "0xfffc", "protocol": "ZigBee", "length": "80", "info": "Link Status"}
{"time": "228.861837", "src": "0x1de6", "dst": "0xd7a7", "protocol": "ZigBee HA", "length": "69", "info": "ZCL: Read Attributes, Seq: 154"}
